column,median
k_303_dy,333.0
k_304_dy,162.0
k_305_dy,112.0
k_307_dy,85.0
k_312_dy,10.5
k_315_dy,48.0
k_320_dy,63.0
k_325_dy,65.0
k_326_dy,86.0
k_327_dy,81.0
k_329_dy,63.0
k_330_dy,72.0
k_331_dy,24.0
k_332_dy,77.0
k_333_dy,87.0
k_334_dy,75.5
k_335_dy,63.0
k_336_dy,84.0
k_337_dy,92.0
k_338_dy,84.5
k_339_dy,86.0
k_341_dy,39.0
k_342_dy,20.0
k_344_dy,69.0
k_345_dy,44.0
k_346_dy,51.5
k_347_dy,148.0
k_350_dy,-502.0
k_351_dy,640.0
k_360_dy,-1473.0
k_364_dy,35.0
k_365_dy,47.0
k_366_dy,65.5
k_368_dy,168.0
k_369_dy,-3.0
k_370_dy,22.0
k_371_dy,28.0
k_372_dy,85.0
k_374_dy,49.0
k_375_dy,58.0
k_378_dy,50.0
k_383_dy,30.0
k_385_dy,78.0
k_391_dy,-1465.0
k_393_dy,-1420.0
k_395_dy,23.5
k_396_dy,83.0
k_397_dy,-94.0
k_398_dy,212.0
k_399_dy,37.5
k_400_dy,34.5
k_401_dy,76.0
k_403_dy,54.5
k_404_dy,34.0
k_405_dy,65.0
k_406_dy,59.0
k_410_dy,56.5
k_411_dy,47.0
k_412_dy,73.5
k_413_dy,30.0
k_414_dy,30.0
k_415_dy,93.0
k_416_dy,54.0
k_417_dy,35.0
k_420_dy,17.5
k_421_dy,57.5
k_422_dy,60.0
k_423_dy,73.0
k_424_dy,54.0
k_425_dy,73.5
k_426_dy,41.0
k_427_dy,113.0
k_429_dy,6.5
k_430_dy,133.0
k_432_dy,4.0
k_433_dy,101.0
k_434_dy,82.0
k_435_dy,73.5
k_436_dy,90.5
k_445_dy,131.0
k_451_dy,77.0
k_453_dy,68.0
k_459_dy,112.5
k_460_dy,66.0
k_464_dy,130.0
k_465_dy,-32.0
k_466_dy,19.0
k_468_dy,-17.0
k_469_dy,0.0
k_471_dy,56.0
k_492_dy,49.0
k_499_dy,13.0
k_508_dy,56.0
k_516_dy,41.0
k_517_dy,30.0
k_518_dy,-4.0
k_519_dy,14.0
k_532_dy,93.0
k_536_dy,114.0
k_540_dy,56.0
k_548_dy,-1734.0
k_549_dy,-1750.5
k_552_dy,1886.0
k_553_dy,1884.0
k_558_dy,-20.0
k_560_dy,95.0
e_1,29.0
e_4,12.0
e_5,20.0
e_7,37.0
e_8,18.5
e_12,43.0
e_14,36.0
e_15,23.0
e_20,35.0
e_21,13.0
e_22,27.0
e_24,15.0
e_26,34.0
e_27,11.0
e_28,26.0
e_29,51.0
e_32,33.5
e_33,30.0
e_34,19.0
e_36,31.0
e_39,26.0
e_42,18.0
e_44,26.0
e_46,23.0
e_47,19.0
e_48,29.0
e_50,29.5
e_52,17.0
e_54,37.0
e_59,21.0
e_60,11.0
e_62,8.0
e_64,25.0
e_69,26.5
e_70,17.0
e_72,22.0
e_73,20.0
e_74,9.0
e_77,26.0
e_80,30.0
e_90,21.5
e_91,17.0
e_92,46.0
e_94,17.0
e_96,34.5
e_101,40.0
e_105,30.0
e_107,22.5
e_109,24.0
e_110,17.0
e_111,43.0
e_112,19.5
e_113,35.0
e_114,44.0
e_118,23.0
e_124,33.0
e_130,26.0
e_137,50.0
e_141,68.0
e_152,25.0
e_153,30.0
e_154,25.0
e_155,20.0
e_156,23.0
e_157,11.0
e_158,17.5
e_161,30.0
e_168,32.0
e_169,26.0
e_170,26.0
e_172,17.5
e_173,18.0
e_174,67.0
e_175,31.0
e_176,23.5
e_177,23.0
e_178,29.0
e_179,24.0
e_180,26.0
e_181,24.0
e_182,21.0
e_183,26.0
e_184,19.0
e_185,21.0
